iter	Passed	Remaining
0	315	314732
1	461	230434
2	616	204881
3	758	188864
4	903	179831
5	1043	172954
6	1183	167820
7	1325	164355
8	1465	161318
9	1608	159259
10	1751	157434
11	1892	155837
12	2026	153868
13	2158	151986
14	2286	150166
15	2417	148688
16	2564	148279
17	2700	147344
18	2834	146361
19	2964	145283
20	3087	143929
21	3214	142900
22	3345	142118
23	3474	141294
24	3611	140854
25	3742	140189
26	3880	139834
27	4016	139418
28	4152	139027
29	4288	138677
30	4423	138283
31	4561	137990
32	4702	137789
33	4845	137660
34	4981	137357
35	5113	136934
36	5243	136485
37	5377	136130
38	5511	135803
39	5639	135348
40	5765	134862
41	5891	134389
42	6022	134041
43	6149	133618
44	6280	133293
45	6411	132960
46	6542	132661
47	6674	132374
48	6808	132133
49	6948	132015
50	7087	131874
51	7223	131696
52	7360	131519
53	7494	131284
54	7628	131069
55	7764	130880
56	7897	130649
57	8026	130353
58	8154	130054
59	8287	129829
60	8415	129538
61	8544	129272
62	8673	129000
63	8801	128725
64	8927	128423
65	9058	128186
66	9185	127913
67	9317	127702
68	9446	127458
69	9573	127192
70	9708	127031
71	9843	126865
72	9973	126645
73	10114	126566
74	10251	126431
75	10383	126243
76	10517	126071
77	10649	125881
78	10784	125732
79	10917	125555
80	11047	125337
81	11179	125160
82	11307	124922
83	11432	124665
84	11563	124473
85	11689	124240
86	11816	124002
87	11951	123860
88	12076	123613
89	12203	123388
90	12334	123211
91	12465	123031
92	12593	122819
93	12726	122662
94	12859	122504
95	13000	122422
96	13133	122259
97	13269	122133
98	13406	122011
99	13538	121844
100	13673	121706
101	13810	121588
102	13948	121471
103	14077	121285
104	14210	121127
105	14342	120964
106	14470	120768
107	14598	120573
108	14722	120346
109	14847	120130
110	14979	119967
111	15109	119794
112	15236	119595
113	15366	119426
114	15500	119290
115	15631	119119
116	15759	118937
117	15891	118781
118	16031	118687
119	16169	118573
120	16302	118429
121	16430	118243
122	16562	118090
123	16693	117928
124	16840	117881
125	16990	117856
126	17135	117787
127	17279	117713
128	17429	117682
129	17569	117578
130	17708	117470
131	17840	117315
132	17973	117165
133	18101	116982
134	18234	116837
135	18369	116699
136	18502	116554
137	18635	116407
138	18774	116295
139	18912	116174
140	19050	116059
141	19185	115925
142	19322	115798
143	19484	115822
144	19634	115776
145	19791	115767
146	19946	115744
147	20096	115691
148	20238	115588
149	20377	115474
150	20517	115358
151	20652	115220
152	20794	115119
153	20934	115001
154	21069	114864
155	21208	114741
156	21345	114612
157	21482	114482
158	21615	114329
159	21758	114232
160	21908	114167
161	22059	114109
162	22203	114015
163	22345	113905
164	22483	113781
165	22613	113613
166	22752	113491
167	22890	113362
168	23030	113243
169	23172	113135
170	23310	113009
171	23453	112903
172	23591	112777
173	23732	112663
174	23877	112564
175	24018	112448
176	24174	112405
177	24313	112277
178	24456	112171
179	24594	112043
180	24728	111895
181	24867	111767
182	25009	111654
183	25149	111530
184	25287	111402
185	25426	111272
186	25560	111125
187	25695	110984
188	25831	110842
189	25967	110704
190	26104	110570
191	26272	110563
192	26422	110482
193	26573	110404
194	26721	110312
195	26866	110207
196	27008	110091
197	27153	109986
198	27308	109918
199	27463	109855
200	27601	109718
201	27740	109588
202	27880	109461
203	28019	109329
204	28157	109196
205	28294	109058
206	28432	108921
207	28569	108785
208	28704	108636
209	28844	108509
210	28981	108371
211	29119	108238
212	29262	108121
213	29410	108020
214	29570	107967
215	29728	107902
216	29873	107791
217	30020	107688
218	30165	107576
219	30308	107458
220	30460	107371
221	30611	107277
222	30761	107182
223	30905	107065
224	31051	106955
225	31199	106850
226	31350	106756
227	31494	106638
228	31638	106520
229	31785	106410
230	31928	106291
231	32087	106220
232	32228	106091
233	32371	105968
234	32514	105846
235	32670	105765
236	32812	105636
237	32944	105478
238	33075	105314
239	33201	105139
240	33333	104980
241	33471	104839
242	33603	104681
243	33733	104517
244	33867	104367
245	34004	104224
246	34135	104065
247	34276	103934
248	34411	103786
249	34561	103683
250	34708	103571
251	34849	103440
252	34986	103300
253	35116	103138
254	35257	103008
255	35403	102892
256	35542	102754
257	35675	102602
258	35820	102482
259	35960	102349
260	36090	102186
261	36224	102035
262	36364	101904
263	36508	101780
264	36644	101636
265	36780	101493
266	36929	101382
267	37081	101281
268	37231	101176
269	37396	101108
270	37567	101059
271	37716	100947
272	37853	100802
273	38002	100693
274	38145	100564
275	38283	100423
276	38420	100281
277	38556	100135
278	38691	99986
279	38824	99835
280	38957	99680
281	39091	99530
282	39224	99377
283	39358	99227
284	39494	99082
285	39630	98938
286	39770	98801
287	39909	98664
288	40045	98519
289	40177	98366
290	40315	98226
291	40444	98064
292	40574	97906
293	40709	97757
294	40843	97608
295	40976	97457
296	41106	97299
297	41245	97161
298	41378	97012
299	41508	96853
300	41640	96699
301	41774	96551
302	41900	96385
303	42032	96231
304	42163	96078
305	42289	95912
306	42419	95754
307	42554	95610
308	42687	95459
309	42828	95328
310	42977	95212
311	43115	95074
312	43253	94936
313	43394	94805
314	43530	94662
315	43683	94555
316	43837	94450
317	43992	94347
318	44148	94248
319	44303	94145
320	44455	94034
321	44597	93904
322	44741	93776
323	44878	93635
324	45011	93486
325	45144	93335
326	45272	93176
327	45410	93036
328	45554	92908
329	45688	92761
330	45820	92610
331	45959	92472
332	46088	92315
333	46219	92162
334	46356	92020
335	46486	91866
336	46617	91713
337	46755	91574
338	46893	91434
339	47023	91280
340	47155	91131
341	47291	90988
342	47424	90839
343	47556	90690
344	47696	90554
345	47843	90432
346	47996	90322
347	48142	90197
348	48278	90055
349	48414	89913
350	48556	89780
351	48697	89648
352	48839	89515
353	48974	89372
354	49111	89231
355	49250	89093
356	49389	88956
357	49529	88821
358	49671	88688
359	49819	88567
360	49966	88445
361	50111	88317
362	50254	88187
363	50397	88056
364	50540	87926
365	50684	87797
366	50827	87666
367	50968	87533
368	51110	87400
369	51245	87255
370	51397	87140
371	51540	87008
372	51688	86885
373	51828	86749
374	51966	86610
375	52112	86483
376	52267	86373
377	52414	86247
378	52559	86119
379	52706	85994
380	52853	85868
381	52995	85736
382	53149	85621
383	53299	85501
384	53439	85363
385	53578	85225
386	53721	85094
387	53862	84957
388	54003	84823
389	54139	84679
390	54278	84541
391	54416	84400
392	54551	84255
393	54685	84110
394	54818	83962
395	54945	83806
396	55077	83657
397	55211	83510
398	55348	83369
399	55489	83234
400	55618	83080
401	55754	82938
402	55894	82801
403	56028	82656
404	56170	82522
405	56304	82376
406	56447	82244
407	56586	82106
408	56726	81968
409	56869	81836
410	57004	81692
411	57145	81556
412	57280	81413
413	57414	81268
414	57556	81134
415	57701	81004
416	57842	80868
417	57981	80730
418	58120	80591
419	58256	80449
420	58394	80309
421	58541	80182
422	58680	80043
423	58812	79895
424	58948	79753
425	59084	79611
426	59220	79469
427	59359	79331
428	59503	79199
429	59642	79060
430	59788	78931
431	59930	78796
432	60064	78652
433	60197	78505
434	60334	78365
435	60467	78219
436	60600	78073
437	60738	77933
438	60873	77790
439	61001	77638
440	61132	77489
441	61262	77340
442	61392	77191
443	61525	77045
444	61655	76896
445	61792	76755
446	61925	76610
447	62061	76468
448	62197	76326
449	62331	76182
450	62469	76044
451	62609	75907
452	62747	75767
453	62890	75634
454	63039	75508
455	63174	75366
456	63306	75219
457	63440	75076
458	63575	74933
459	63709	74789
460	63843	74645
461	63970	74494
462	64097	74342
463	64236	74204
464	64364	74053
465	64492	73903
466	64622	73755
467	64750	73605
468	64882	73459
469	65017	73317
470	65150	73173
471	65287	73034
472	65420	72888
473	65555	72746
474	65689	72604
475	65831	72470
476	65979	72342
477	66117	72203
478	66263	72073
479	66409	71944
480	66548	71805
481	66681	71661
482	66817	71521
483	66956	71383
484	67107	71258
485	67253	71127
486	67410	71009
487	67568	70891
488	67725	70772
489	67876	70646
490	68014	70508
491	68148	70365
492	68296	70235
493	68437	70099
494	68576	69962
495	68726	69834
496	68873	69704
497	69020	69574
498	69165	69442
499	69301	69301
500	69440	69162
501	69585	69031
502	69718	68887
503	69855	68746
504	69987	68601
505	70113	68450
506	70238	68299
507	70369	68153
508	70500	68007
509	70624	67855
510	70751	67705
511	70878	67555
512	71011	67412
513	71140	67265
514	71267	67115
515	71406	66977
516	71538	66833
517	71666	66685
518	71796	66539
519	71932	66399
520	72072	66262
521	72207	66121
522	72347	65983
523	72482	65842
524	72614	65699
525	72744	65553
526	72877	65410
527	73001	65258
528	73131	65113
529	73263	64969
530	73393	64824
531	73521	64676
532	73650	64530
533	73782	64386
534	73910	64239
535	74035	64090
536	74164	63944
537	74293	63798
538	74423	63653
539	74556	63511
540	74696	63374
541	74829	63232
542	74967	63094
543	75107	62958
544	75246	62820
545	75385	62683
546	75525	62546
547	75667	62411
548	75807	62275
549	75942	62134
550	76075	61992
551	76207	61849
552	76334	61702
553	76464	61558
554	76596	61414
555	76725	61270
556	76862	61130
557	77002	60994
558	77144	60859
559	77290	60727
560	77437	60597
561	77580	60462
562	77726	60331
563	77877	60203
564	78011	60061
565	78152	59926
566	78292	59789
567	78429	59650
568	78568	59512
569	78701	59371
570	78845	59237
571	78984	59100
572	79122	58961
573	79259	58823
574	79389	58679
575	79520	58535
576	79660	58399
577	79793	58257
578	79925	58114
579	80064	57977
580	80198	57836
581	80330	57694
582	80464	57553
583	80596	57411
584	80735	57273
585	80864	57129
586	80998	56988
587	81134	56849
588	81271	56710
589	81411	56574
590	81546	56433
591	81686	56297
592	81830	56163
593	81970	56027
594	82107	55888
595	82249	55753
596	82381	55610
597	82510	55466
598	82644	55326
599	82777	55185
600	82906	55040
601	83035	54897
602	83168	54756
603	83312	54621
604	83452	54485
605	83591	54347
606	83728	54210
607	83863	54070
608	84002	53932
609	84146	53798
610	84286	53661
611	84440	53533
612	84593	53405
613	84751	53279
614	84910	53155
615	85073	53032
616	85220	52900
617	85361	52764
618	85504	52628
619	85647	52493
620	85817	52374
621	85969	52245
622	86123	52116
623	86275	51986
624	86423	51854
625	86581	51727
626	86729	51595
627	86875	51461
628	87017	51325
629	87162	51190
630	87312	51059
631	87458	50925
632	87609	50793
633	87765	50666
634	87918	50536
635	88065	50402
636	88217	50271
637	88364	50138
638	88506	50001
639	88650	49866
640	88807	49737
641	88950	49601
642	89100	49469
643	89241	49332
644	89394	49201
645	89541	49067
646	89682	48930
647	89827	48795
648	89968	48657
649	90100	48515
650	90256	48386
651	90400	48250
652	90544	48114
653	90688	47979
654	90844	47849
655	90998	47718
656	91154	47589
657	91307	47457
658	91457	47324
659	91613	47194
660	91772	47066
661	91916	46930
662	92064	46796
663	92225	46668
664	92376	46535
665	92529	46403
666	92672	46266
667	92819	46131
668	92966	45996
669	93112	45861
670	93250	45721
671	93384	45580
672	93533	45446
673	93686	45314
674	93829	45177
675	93984	45045
676	94130	44910
677	94280	44776
678	94431	44642
679	94579	44508
680	94730	44374
681	94877	44238
682	95017	44100
683	95162	43963
684	95307	43827
685	95457	43693
686	95612	43561
687	95775	43433
688	95915	43294
689	96051	43153
690	96200	43018
691	96350	42884
692	96497	42748
693	96639	42610
694	96776	42470
695	96911	42329
696	97045	42187
697	97185	42048
698	97323	41908
699	97467	41771
700	97608	41633
701	97756	41497
702	97892	41356
703	98031	41217
704	98170	41078
705	98309	40939
706	98448	40799
707	98579	40657
708	98710	40514
709	98844	40372
710	98977	40231
711	99107	40088
712	99241	39947
713	99387	39810
714	99528	39672
715	99666	39532
716	99810	39395
717	99950	39256
718	100091	39117
719	100254	38987
720	100409	38854
721	100566	38722
722	100730	38592
723	100888	38460
724	101041	38326
725	101191	38190
726	101337	38053
727	101479	37915
728	101618	37775
729	101759	37636
730	101898	37497
731	102045	37360
732	102199	37226
733	102350	37091
734	102503	36956
735	102663	36824
736	102811	36688
737	102962	36552
738	103105	36414
739	103245	36275
740	103387	36136
741	103526	35997
742	103670	35859
743	103821	35723
744	103968	35586
745	104115	35449
746	104261	35312
747	104401	35172
748	104540	35032
749	104693	34897
750	104838	34759
751	104984	34622
752	105122	34482
753	105269	34345
754	105410	34206
755	105550	34066
756	105688	33926
757	105826	33786
758	105962	33645
759	106097	33504
760	106230	33362
761	106361	33220
762	106496	33079
763	106625	32936
764	106757	32794
765	106895	32654
766	107027	32512
767	107165	32372
768	107331	32241
769	107477	32103
770	107615	31963
771	107757	31824
772	107895	31684
773	108039	31546
774	108181	31407
775	108322	31268
776	108462	31128
777	108603	30989
778	108745	30850
779	108878	30709
780	109014	30568
781	109158	30430
782	109313	30294
783	109453	30155
784	109585	30013
785	109723	29873
786	109869	29735
787	110009	29596
788	110151	29457
789	110294	29318
790	110436	29179
791	110582	29041
792	110721	28902
793	110877	28766
794	111018	28627
795	111162	28488
796	111303	28349
797	111437	28208
798	111574	28068
799	111714	27928
800	111852	27788
801	111991	27648
802	112130	27508
803	112268	27369
804	112401	27227
805	112541	27088
806	112681	26948
807	112820	26808
808	112963	26670
809	113102	26530
810	113243	26390
811	113384	26251
812	113526	26112
813	113663	25972
814	113816	25835
815	113960	25696
816	114109	25559
817	114242	25418
818	114387	25279
819	114526	25139
820	114661	24999
821	114799	24859
822	114943	24720
823	115082	24580
824	115218	24440
825	115357	24300
826	115503	24162
827	115653	24024
828	115791	23884
829	115939	23746
830	116082	23607
831	116227	23469
832	116373	23330
833	116524	23193
834	116675	23055
835	116833	22919
836	116991	22783
837	117149	22647
838	117302	22509
839	117469	22375
840	117633	22239
841	117799	22104
842	117951	21967
843	118106	21830
844	118254	21691
845	118412	21555
846	118568	21417
847	118716	21279
848	118870	21141
849	119024	21004
850	119168	20865
851	119308	20724
852	119461	20587
853	119616	20449
854	119770	20311
855	119935	20176
856	120090	20038
857	120257	19902
858	120426	19767
859	120587	19630
860	120750	19494
861	120909	19356
862	121064	19218
863	121220	19080
