user_id,user_age,content_title,content_type,genre,release_year,country,age_rating,duration_minutes,rating,watch_percentage
user_1,56,New Journey 260,TV Series,Crime,2013,Brazil,TV-14,48,3,81
user_2,38,The Legend 472,Movie,Documentary,2016,Spain,R,172,2,84
user_3,41,The Story 324,TV Series,Animation,2014,Spain,R,55,2,12
user_4,39,Old Story 437,TV Series,Horror,2014,India,TV-MA,21,5,39
user_5,55,Lost Quest 363,Movie,Thriller,2011,USA,PG-13,153,5,42
user_6,29,Wild Kingdom 455,TV Series,Thriller,2019,Canada,R,41,1,98
user_7,44,Secret Story 8,Movie,Animation,2020,Brazil,PG-13,131,1,69
user_8,33,Hidden Legend 73,TV Series,Comedy,2023,Spain,R,22,5,16
user_9,38,Emily in Paris,Movie,Thriller,2018,Canada,G,128,1,98
user_10,31,Hidden Kingdom 451,TV Series,Sci-Fi,2011,Brazil,TV-14,28,1,11
user_11,37,Last Quest 378,Movie,Sci-Fi,2021,Spain,R,149,2,17
user_12,64,The Chronicles 295,TV Series,Animation,2012,USA,TV-MA,33,4,59
user_13,57,Old Story 41,Movie,Romance,2013,India,TV-14,91,4,63
user_14,59,New Legend 63,TV Series,Comedy,2013,UK,R,48,5,99
user_15,61,The Kingdom 141,TV Series,Action,2011,USA,PG-13,29,5,23
user_16,48,Secret City 28,TV Series,Sci-Fi,2017,Japan,R,33,3,71
user_17,57,New World 120,Movie,Animation,2014,Germany,TV-MA,169,5,62
user_18,41,Last Mystery 155,Movie,Drama,2019,UK,TV-MA,178,3,50
user_19,46,New Adventure 362,Movie,Documentary,2022,Brazil,PG,154,1,18
user_20,41,The Quest 208,TV Series,Romance,2010,France,PG-13,27,1,20
user_21,34,Money Heist,TV Series,Romance,2017,Spain,PG,54,5,14
user_22,59,Secret Chronicles 46,TV Series,Sci-Fi,2016,Brazil,PG-13,47,5,81
user_23,29,The Mystery 405,TV Series,Documentary,2011,South Korea,PG,52,2,32
user_24,41,Secret Adventure 364,TV Series,Comedy,2014,India,R,54,4,95
user_25,44,Secret City 338,TV Series,Romance,2012,USA,TV-PG,20,4,56
user_26,31,First Story 376,TV Series,Action,2012,Brazil,TV-PG,20,5,23
user_27,56,Last Chronicles 21,TV Series,Romance,2020,India,TV-MA,28,5,99
user_28,59,Last World 331,Movie,Horror,2021,Brazil,PG-13,166,3,61
user_29,49,Secret City 111,Movie,Action,2013,South Korea,TV-PG,112,4,24
user_30,60,Wild City 422,Movie,Crime,2022,Japan,TV-14,125,5,80
user_31,39,Secret Mystery 105,Movie,Romance,2021,Japan,TV-14,155,4,71
user_32,23,Old World 396,Movie,Horror,2021,Canada,TV-PG,117,3,93
user_33,47,Dark Legend 345,TV Series,Drama,2023,South Korea,TV-PG,30,3,98
user_34,56,Lost Adventure 464,TV Series,Sci-Fi,2023,UK,R,52,3,36
user_35,30,New Journey 48,Movie,Horror,2018,Germany,TV-PG,92,1,81
user_36,44,Dark Legend 345,Movie,Thriller,2018,USA,PG-13,151,3,60
user_37,59,Last Kingdom 97,TV Series,Sci-Fi,2021,South Korea,TV-MA,43,5,41
user_38,49,Last Kingdom 361,TV Series,Comedy,2017,India,R,31,3,11
user_39,20,Sherlock,TV Series,Crime,2010,India,TV-14,56,3,90
user_40,19,Last Story 35,TV Series,Romance,2011,Germany,G,47,2,10
user_41,36,First Quest 114,Movie,Action,2023,South Korea,R,91,4,99
user_42,49,Old Chronicles 89,Movie,Horror,2015,Spain,PG,121,4,64
user_43,28,The Legend 368,TV Series,Sci-Fi,2017,Spain,R,36,5,33
user_44,22,New Quest 129,TV Series,Comedy,2013,France,TV-MA,53,4,20
user_45,33,Secret Story 388,TV Series,Action,2010,Japan,PG,28,3,79
user_46,33,Lost Story 425,TV Series,Horror,2022,Japan,G,22,4,68
user_47,53,First Quest 347,TV Series,Action,2012,Germany,PG-13,45,4,28
user_48,37,Old Mystery 165,Movie,Documentary,2016,UK,TV-14,141,5,49
user_49,56,First Legend 188,Movie,Action,2011,Japan,PG,90,4,66
user_50,42,Secret Chronicles 99,Movie,Comedy,2011,Spain,PG,112,4,51
user_51,52,Last Chronicles 192,Movie,Sci-Fi,2016,Canada,TV-PG,105,5,69
user_52,19,Breaking Bad,TV Series,Drama,2010,Canada,TV-MA,31,4,41
user_53,26,Wild Story 227,Movie,Comedy,2018,USA,PG,108,5,12
user_54,37,Emily in Paris,TV Series,Horror,2017,Brazil,PG-13,52,4,84
user_55,25,The Umbrella Academy,Movie,Romance,2013,USA,PG,127,4,98
user_56,52,Hidden Quest 402,Movie,Comedy,2018,France,R,107,3,91
user_57,19,Wild City 341,Movie,Documentary,2015,Spain,PG,124,4,50
user_58,53,Lost Journey 15,TV Series,Documentary,2010,USA,G,23,3,30
user_59,37,New Adventure 461,TV Series,Thriller,2017,UK,R,27,5,26
user_60,50,Lost Story 425,Movie,Comedy,2021,Japan,TV-MA,148,4,31
user_61,63,Hidden Quest 122,Movie,Drama,2023,South Korea,TV-MA,127,5,60
user_62,25,First Quest 303,TV Series,Crime,2020,Spain,PG-13,46,5,39
user_63,50,Wild Story 435,TV Series,Comedy,2021,UK,TV-PG,52,3,70
user_64,36,Old Kingdom 191,TV Series,Documentary,2013,India,R,54,5,26
user_65,61,Hidden Journey 318,TV Series,Thriller,2021,Germany,TV-14,49,5,15
user_66,52,Hidden Journey 68,TV Series,Thriller,2021,Japan,TV-14,56,5,55
user_67,48,First City 232,TV Series,Drama,2012,France,G,52,2,94
user_68,49,Hidden Legend 64,Movie,Comedy,2016,Germany,G,122,3,27
user_69,42,Hidden Chronicles 352,Movie,Animation,2019,USA,TV-MA,143,4,55
user_70,41,Old Kingdom 308,Movie,Thriller,2011,Japan,TV-PG,121,4,32
user_71,19,Last World 404,Movie,Romance,2020,Brazil,PG-13,91,3,42
user_72,26,Last World 331,Movie,Crime,2020,Spain,PG,137,4,51
user_73,43,New Quest 129,TV Series,Horror,2012,UK,PG-13,44,4,69
user_74,24,First Quest 347,Movie,Romance,2018,Brazil,PG,125,5,74
