customer_id,Movie Name,watch_duration_percent,liked,rating,watch_date,rewatch_count,completion_status,device,time_of_day,skipped_scenes,buffering_time_sec,review_text
C0001,Hellraiser Hellseeker,31,0,6.3,2025-01-16,1,Dropped,Mobile,Afternoon,10,0.0,Average experience.
C0001,500 Days of Summer,80,1,,2025-05-09,1,Dropped,Smart TV,Afternoon,1,18.86,
C0001,Precious,68,0,,2025-06-12,3,Partial,Mobile,Afternoon,7,10.41,
C0001,48 Hrs.,85,1,,2025-01-04,2,Partial,Smart TV,Evening,2,0.0,Could be better.
C0001,"Ides of March, The",53,0,9.7,2025-04-20,2,Dropped,Tablet,Afternoon,8,17.99,
C0001,"Last Samurai, The",37,0,7.9,2025-07-21,2,Partial,Laptop,Night,6,0.71,
C0001,Mad Max 2 The Road Warrior,48,0,7.8,2025-05-15,3,Partial,Tablet,Evening,2,17.53,Too slow.
C0001,Cinema Paradiso,53,0,7.4,2025-01-21,1,Partial,Smart TV,Morning,3,14.88,Amazing cinematography!
C0001,Henry Fool,94,1,9.1,2024-11-04,3,Completed,Mobile,Morning,2,18.89,Not my type.
C0001,Milk,87,1,4.3,2025-05-29,1,Dropped,Tablet,Afternoon,1,11.39,
C0002,"Ladykillers, The",43,0,6.9,2025-02-22,1,Partial,Laptop,Morning,0,4.19,
C0002,"Sessions, The",31,0,6.6,2025-07-18,3,Partial,Mobile,Night,7,0.75,Amazing cinematography!
C0002,Leaving Las Vegas,87,1,8.1,2025-05-23,1,Dropped,Laptop,Evening,1,0.0,Could be better.
C0002,Bad Dreams,25,0,5.7,2025-08-29,4,Partial,Smart TV,Night,10,6.85,
C0002,Eternal Sunshine of the Spotless Mind,41,0,,2024-11-23,3,Dropped,Laptop,Afternoon,3,2.62,
C0002,Chaos,66,0,8.8,2025-01-29,3,Partial,Mobile,Morning,9,13.24,
C0002,Apt Pupil,34,0,6.3,2025-06-27,4,Partial,Mobile,Night,2,0.0,
C0002,John Wick Chapter 4,73,1,,2024-11-29,2,Dropped,Tablet,Night,1,12.35,Too slow.
C0002,"Fault in Our Stars, The",97,1,5.6,2024-12-15,4,Completed,Laptop,Afternoon,1,5.91,Would watch again!
C0003,Little Athens,50,0,8.0,2025-08-14,0,Partial,Smart TV,Afternoon,1,1.5,
C0003,"Girl with the Dragon Tattoo, The",78,1,,2025-07-22,2,Partial,Smart TV,Night,0,0.0,Loved it!
C0003,"Mechanic, The",60,0,4.7,2025-10-25,0,Dropped,Smart TV,Afternoon,10,6.57,
C0003,Blitz,67,0,,2025-06-26,1,Dropped,Tablet,Night,6,5.44,Would watch again!
C0003,Die Hard,34,0,8.4,2025-07-30,1,Dropped,Smart TV,Night,9,11.38,Average experience.
C0003,All the President's Men,36,0,6.9,2025-06-22,3,Partial,Smart TV,Morning,1,0.0,Not my type.
C0003,Swordfish,86,1,7.7,2025-05-21,3,Dropped,Mobile,Night,1,12.83,Loved it!
C0003,Dead Poets Society,84,1,,2025-07-27,3,Dropped,Tablet,Morning,1,6.62,Not my type.
C0003,Oppenheimer,50,0,6.7,2025-07-28,4,Partial,Mobile,Morning,7,2.37,Loved it!
C0003,Orgy of the Dead,72,1,7.3,2024-12-28,0,Partial,Laptop,Afternoon,10,19.01,Loved it!
C0003,Roughshod,62,0,7.7,2025-03-07,3,Partial,Mobile,Night,1,0.0,
C0003,Machete,65,0,,2025-04-04,2,Partial,Tablet,Morning,0,9.85,
C0003,Breakdown,52,0,5.1,2025-10-01,3,Dropped,Tablet,Night,3,2.16,Too slow.
C0003,Rust and Bone,95,1,,2024-10-28,1,Completed,Tablet,Night,0,0.97,
C0003,"Sting, The",42,0,5.0,2025-01-18,1,Dropped,Tablet,Night,10,17.65,
C0003,Pirates of the Caribbean,97,1,,2024-10-31,1,Completed,Laptop,Evening,1,19.41,Great acting!
C0003,"Persian Version, The",97,1,8.5,2025-07-02,2,Completed,Smart TV,Evening,2,11.07,Not my type.
C0003,Malcolm X,36,0,,2024-12-06,1,Partial,Tablet,Morning,5,11.66,
C0003,Three Men and a Baby,56,0,,2025-01-02,3,Dropped,Laptop,Morning,0,1.06,Could be better.
C0003,Into the Wild,52,0,4.4,2024-12-07,2,Dropped,Laptop,Morning,5,2.05,
C0004,Gran Torino,85,1,8.8,2025-01-09,2,Dropped,Mobile,Night,1,15.76,
C0004,A Few Good Men,52,0,9.2,2025-02-23,3,Dropped,Laptop,Evening,9,12.07,
